Rk,G,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
23,23,23-348,CLE,,PHI,W (+16),1,36:50:00,9,21,0.429,1,4,0.25,9,12,0.75,3,4,7,7,1,3,0,2,28,26.2,13
24,24,23-349,CLE,@,ATL,L (-5),1,45:40:00,10,19,0.526,2,7,0.286,11,12,0.917,2,4,6,9,4,1,1,2,33,35.1,1
25,25,23-353,CLE,@,MIN,W (+23),1,39:38:00,14,20,0.7,2,6,0.333,2,4,0.5,0,6,6,3,2,2,0,1,32,29.7,22
26,26,23-355,CLE,@,DEN,W (+17),1,38:45:00,13,20,0.65,0,2,0,7,8,0.875,3,7,10,8,0,0,6,3,33,26.4,14
27,27,23-357,CLE,@,OKC,W (+11),1,42:46:00,14,24,0.583,2,4,0.5,1,2,0.5,2,2,4,7,3,1,3,1,31,26.6,16
28,28,23-359,CLE,,HOU,W (+9),1,38:20:00,11,23,0.478,0,3,0,5,7,0.714,1,8,9,5,3,1,7,2,27,17,14
29,29,23-361,CLE,,WAS,W (+4),1,38:13:00,6,13,0.462,0,2,0,6,10,0.6,0,5,5,6,3,1,3,1,18,15.7,-4
30,30,23-364,CLE,,MIA,W (+7),1,42:31:00,12,19,0.632,2,4,0.5,7,12,0.583,0,6,6,9,0,1,2,1,33,28.9,8
31,31,24-000,CLE,@,MIA,L (-9),1,43:29:00,12,24,0.5,3,8,0.375,11,14,0.786,0,2,2,7,0,2,5,2,38,25.9,-6
32,32,24-003,CLE,,CHI,W (+25),1,37:16:00,3,8,0.375,2,3,0.667,8,8,1,1,9,10,11,2,3,5,1,16,21.4,27
33,33,24-005,CLE,@,WAS,L (-3),1,40:46:00,11,22,0.5,3,9,0.333,5,8,0.625,0,6,6,10,1,2,7,4,30,20.4,0
34,34,24-008,CLE,,CHA,W (+30),1,30:59:00,9,16,0.563,0,1,0,3,3,1,0,4,4,4,2,2,4,1,21,16.4,23
35,35,24-010,CLE,,BOS,W (+15),1,35:49:00,13,25,0.52,3,7,0.429,9,9,1,1,6,7,6,4,3,3,2,38,34.7,20
36,36,24-014,CLE,@,MEM,W (+15),1,40:12:00,9,15,0.6,1,5,0.2,11,14,0.786,0,11,11,10,3,1,2,2,30,33.1,21
37,37,24-016,CLE,@,CHI,L (-9),1,44:19:00,8,28,0.286,1,6,0.167,11,16,0.688,3,11,14,7,1,1,8,4,28,12,2
38,38,24-017,CLE,,NOH,W (+14),1,42:59:00,12,24,0.5,0,2,0,5,6,0.833,3,11,14,7,3,1,4,3,29,25.4,19
39,39,24-020,CLE,@,LAL,L (-17),1,42:10:00,9,25,0.36,1,5,0.2,4,8,0.5,2,7,9,4,4,1,6,1,23,12.1,-11
40,40,24-022,CLE,@,POR,W (+6),1,42:02:00,14,30,0.467,3,6,0.5,3,4,0.75,0,7,7,14,1,0,2,1,34,28.7,14
41,41,24-024,CLE,@,GSW,W (+1),1,40:39:00,10,24,0.417,2,5,0.4,10,16,0.625,2,7,9,8,3,2,2,2,32,27.5,12
42,42,24-025,CLE,@,UTA,W (+5),1,41:08:00,14,27,0.519,1,6,0.167,4,6,0.667,4,10,14,9,1,0,2,1,33,29.6,16
43,43,24-028,CLE,,SAC,W (+7),1,37:31:00,5,10,0.5,0,2,0,13,15,0.867,5,10,15,11,0,3,2,1,23,31.1,6
44,44,24-030,CLE,@,ORL,L (-11),1,37:41:00,10,27,0.37,0,2,0,3,6,0.5,1,7,8,8,1,1,2,1,23,14.6,-9
45,45,24-031,CLE,,LAC,W (+17),1,37:08:00,9,17,0.529,2,4,0.5,5,6,0.833,0,7,7,6,3,1,3,2,25,22.5,32
46,46,24-033,CLE,@,DET,W (+10),1,38:50:00,12,25,0.48,3,8,0.375,6,11,0.545,4,0,4,8,1,1,5,3,33,22.2,-8
47,47,24-035,CLE,,TOR,W (+18),1,37:31:00,9,20,0.45,2,5,0.4,13,13,1,1,6,7,4,1,2,3,3,33,26.1,23
48,48,24-036,CLE,@,NYK,W (+5),1,44:03:00,17,33,0.515,2,7,0.286,16,19,0.842,0,9,9,11,0,2,3,1,52,42.9,7
49,49,24-040,CLE,,LAL,L (-10),1,40:08:00,5,20,0.25,2,8,0.25,4,8,0.5,3,5,8,12,0,0,1,1,16,13,-12
50,50,24-042,CLE,@,IND,L (-1),1,41:10:00,15,21,0.714,4,7,0.571,13,14,0.929,0,7,7,4,1,1,7,1,47,37.1,7
51,51,24-043,CLE,,PHO,W (+17),1,33:17:00,9,18,0.5,1,5,0.2,7,8,0.875,2,4,6,6,2,1,3,1,26,22.7,22
52,52,24-050,CLE,@,TOR,W (+17),1,33:12:00,9,17,0.529,0,3,0,2,2,1,1,8,9,9,1,1,5,1,20,17.4,20
53,53,24-052,CLE,@,MIL,W (+8),1,40:04:00,16,29,0.552,8,11,0.727,15,22,0.682,1,4,5,9,0,0,6,3,55,39.3,13
54,54,24-054,CLE,,DET,W (+21),1,30:34:00,6,13,0.462,0,3,0,8,10,0.8,0,5,5,9,2,1,0,0,20,23,22
55,55,24-056,CLE,,MEM,W (+15),1,29:40:00,4,10,0.4,1,2,0.5,6,8,0.75,0,5,5,8,0,1,2,1,15,14.2,13
56,56,24-058,CLE,@,HOU,L (-19),1,33:51:00,7,21,0.333,2,5,0.4,5,6,0.833,0,1,1,0,1,2,3,4,21,6.8,-14
57,57,24-059,CLE,@,SAS,W (+11),1,32:08:00,12,23,0.522,3,6,0.5,3,3,1,4,10,14,4,2,0,1,2,30,27.5,29
58,58,24-061,CLE,@,ATL,W (+1),1,43:43:00,8,20,0.4,2,7,0.286,8,14,0.571,1,5,6,11,1,2,0,3,26,23.9,4
59,59,24-062,CLE,@,MIA,W (+7),1,43:40:00,13,21,0.619,6,7,0.857,10,10,1,1,7,8,4,1,1,6,4,42,32.2,8
60,60,24-064,CLE,,MIL,W (+18),1,33:12:00,7,11,0.636,4,5,0.8,5,7,0.714,1,7,8,4,1,0,3,2,23,20.1,24
61,61,24-066,CLE,@,BOS,L (-11),1,38:17:00,5,15,0.333,2,5,0.4,9,12,0.75,0,6,6,5,1,0,4,1,21,13.2,-1
62,62,24-067,CLE,,MIA,W (+10),1,43:19:00,5,15,0.333,0,3,0,4,7,0.571,2,8,10,12,1,1,2,0,14,16.2,10
63,63,24-070,CLE,@,LAC,W (+4),1,43:42:00,10,23,0.435,0,6,0,12,16,0.75,4,9,13,11,2,2,4,2,32,30.1,7
64,64,24-072,CLE,@,PHO,W (+8),1,43:27:00,10,24,0.417,3,8,0.375,11,13,0.846,6,4,10,13,3,3,3,0,34,37,7
65,65,24-073,CLE,@,SAC,W (+3),1,46:59:00,16,30,0.533,4,11,0.364,15,17,0.882,0,4,4,9,2,3,3,2,51,43.4,6
66,66,24-075,CLE,,NYK,W (+5),1,39:52:00,9,17,0.529,0,3,0,1,3,0.333,1,7,8,10,4,3,3,1,19,22.4,-1
67,67,24-077,CLE,,ORL,W (+4),1,42:40:00,15,27,0.556,4,7,0.571,9,10,0.9,2,10,12,8,4,1,6,1,43,38,5
68,68,24-079,CLE,,POR,W (+5),1,46:47:00,10,22,0.455,0,3,0,6,11,0.545,0,11,11,10,1,2,0,4,26,23.7,-1
69,69,24-081,CLE,,ATL,W (+6),1,40:03:00,9,21,0.429,1,4,0.25,3,5,0.6,1,6,7,5,3,1,2,2,22,17,10
70,70,24-082,CLE,@,NJN,W (+8),1,39:09:00,9,17,0.529,1,4,0.25,11,15,0.733,2,9,11,8,1,0,1,0,30,29.8,14
71,71,24-085,CLE,,NJN,W (+11),1,39:06:00,7,14,0.5,1,1,1,7,7,1,1,7,8,11,1,0,1,0,22,25.5,19
72,72,24-087,CLE,,MIN,W (+22),1,33:36:00,8,14,0.571,2,3,0.667,7,10,0.7,2,10,12,7,0,0,5,0,25,21.5,25
73,73,24-089,CLE,,DAL,W (+28),1,31:19:00,9,22,0.409,2,4,0.5,4,5,0.8,1,5,6,12,1,2,0,0,24,24.8,15
74,74,24-091,CLE,,DET,W (+6),1,40:36:00,9,24,0.375,0,2,0,7,8,0.875,1,11,12,3,3,1,1,0,25,20.2,10
75,75,24-093,CLE,@,WAS,L (-8),1,38:20:00,11,18,0.611,4,8,0.5,5,7,0.714,1,8,9,6,0,0,6,1,31,22.9,-13
76,76,24-094,CLE,@,ORL,L (-29),1,32:00:00,7,20,0.35,2,5,0.4,10,10,1,1,8,9,5,1,0,2,1,26,20,-26
77,77,24-096,CLE,,SAS,W (+20),1,36:43:00,14,21,0.667,2,5,0.4,8,8,1,0,7,7,6,1,0,2,1,38,33.8,7
78,78,24-099,CLE,,WAS,W (+12),1,30:51:00,7,15,0.467,0,2,0,7,8,0.875,0,6,6,7,3,0,2,1,21,20.2,25
79,79,24-101,CLE,@,PHI,W (+10),1,36:34:00,8,17,0.471,1,4,0.25,10,12,0.833,0,2,2,10,0,1,1,4,27,23.2,8
80,80,24-103,CLE,,BOS,W (+31),1,30:22:00,9,14,0.643,5,8,0.625,6,6,1,0,4,4,7,1,1,5,1,29,25.2,21
81,81,24-104,CLE,@,IND,W (+8),1,38:42:00,12,23,0.522,2,7,0.286,11,14,0.786,0,5,5,5,1,0,5,1,37,25.1,8
1,1,24-301,CLE,,BOS,L (-6),1,44:55:00,12,22,0.545,4,9,0.444,10,13,0.769,0,4,4,8,2,4,5,4,38,31.2,0
2,2,24-302,CLE,@,TOR,L (-10),1,39:47:00,7,19,0.368,1,5,0.2,8,14,0.571,2,9,11,12,2,0,4,1,23,20.2,2
3,3,24-304,CLE,@,MIN,W (+17),1,33:26:00,10,18,0.556,2,3,0.667,2,3,0.667,2,7,9,6,1,1,2,1,24,22,17
4,4,24-305,CLE,,CHA,W (+11),1,37:14:00,5,11,0.455,0,1,0,4,6,0.667,1,6,7,9,0,0,4,1,14,11.9,19
5,5,24-308,CLE,,WAS,W (+12),1,35:59:00,7,16,0.438,2,7,0.286,11,13,0.846,3,5,8,6,3,0,4,0,27,24.6,5
6,6,24-310,CLE,,CHI,L (-1),1,38:13:00,9,17,0.529,1,4,0.25,6,9,0.667,0,7,7,6,1,1,3,0,25,20.5,-1
7,7,24-311,CLE,@,NYK,W (+9),1,35:37:00,12,17,0.706,2,4,0.5,7,9,0.778,0,8,8,9,3,0,7,3,33,28.6,8
8,8,24-316,CLE,@,ORL,W (+9),1,39:07:00,13,23,0.565,2,3,0.667,8,9,0.889,2,6,8,4,1,0,4,2,36,26.9,7
9,9,24-317,CLE,@,MIA,W (+7),1,38:53:00,8,20,0.4,2,4,0.5,16,18,0.889,1,3,4,7,2,1,2,2,34,28.8,6
10,10,24-319,CLE,,UTA,W (+4),1,37:33:00,6,15,0.4,0,3,0,9,12,0.75,0,6,6,9,2,1,2,1,21,20.1,6
11,11,24-322,CLE,,GSW,W (+6),1,38:32:00,11,19,0.579,1,5,0.2,8,10,0.8,0,5,5,12,1,2,2,2,31,30.8,8
12,12,24-323,CLE,@,WAS,L (-17),1,35:08:00,12,20,0.6,3,7,0.429,7,8,0.875,0,2,2,9,2,0,6,4,34,25.7,-12
13,13,24-325,CLE,@,IND,W (+10),1,37:53:00,13,25,0.52,1,3,0.333,13,14,0.929,2,7,9,7,1,1,2,1,40,35,4
